Sat Mar 24 12:11:34 2018    /home/nicky/pos/restats

         487005348 function calls (486224466 primitive calls) in 1022.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9804217  298.863    0.000  587.723    0.000 validator.py:64(is_ancestor)
291243956  272.128    0.000  272.128    0.000 validator.py:59(get_checkpoint_parent)
3255941/3230738  114.447    0.000  187.488    0.000 validator.py:315(accept_vote)
 25000000   67.256    0.000  134.936    0.000 validator.py:423(vote_on_delay)
 25000000   41.953    0.000  198.099    0.000 validator.py:87(tick)
   500000   32.793    0.000  995.782    0.002 network.py:58(tick)
 35878494   27.584    0.000   27.585    0.000 {isinstance}
4866911/4111794   27.483    0.000  768.035    0.000 validator.py:475(on_receive)
 26248134   18.730    0.000   18.730    0.000 validator.py:159(head)
 25000403   18.654    0.000   18.654    0.000 {range}
  1247043   11.523    0.000  532.708    0.000 validator.py:217(check_head)
    81914   10.094    0.000   35.889    0.000 network.py:39(broadcast)
  4197168    9.711    0.000   15.957    0.000 random.py:418(expovariate)
     1000    9.560    0.010   20.078    0.020 metrics.py:144(blocks_under_highest_justified)
  1584755    8.279    0.000  542.820    0.000 validator.py:167(accept_block)
  4095700    7.324    0.000   22.574    0.000 utils.py:7(<lambda>)
  7777056    6.376    0.000    6.376    0.000 {method 'append' of 'list' objects}
     1041    5.219    0.005    5.219    0.005 {method 'items' of 'dict' objects}
  4304086    3.946    0.000    3.946    0.000 {math.log}
  5447218    3.404    0.000    3.404    0.000 {method 'random' of '_random.Random' objects}
  3255948    3.214    0.000    3.214    0.000 validator.py:468(check_vote_validity)
  2897445    2.406    0.000    2.406    0.000 {method 'get' of 'dict' objects}
     5900    2.281    0.000    2.281    0.000 {method 'write' of 'file' objects}
  1584769    1.753    0.000    1.753    0.000 validator.py:462(check_block_validity)
   731296    1.619    0.000    2.279    0.000 validator.py:48(add_dependency)
    25001    1.614    0.000    2.503    0.000 random.py:291(sample)
    83893    1.543    0.000   30.124    0.000 validator.py:254(maybe_vote_last_checkpoint)
        1    1.360    1.360 1022.191 1022.191 metrics.py:208(print_metrics_latency)
    25003    1.304    0.000    1.304    0.000 {posix.urandom}
   500010    1.293    0.000    4.652    0.000 _tqdm.py:923(__iter__)
    83893    1.119    0.000   31.243    0.000 validator.py:434(vote_at_given_height)
    81915    0.731    0.000    1.675    0.000 random.py:173(randrange)
    50003    0.551    0.000    0.551    0.000 {function seed at 0x7fc75eb56b90}
    81915    0.493    0.000    0.944    0.000 random.py:242(_randbelow)
    25500    0.477    0.000    0.512    0.000 block.py:77(__hash__)
    25001    0.446    0.000    5.326    0.000 block.py:54(generate_next_dynasty)
   492876    0.432    0.000    0.432    0.000 block.py:50(epoch)
    50003    0.409    0.000    2.347    0.000 random.py:100(seed)
    25001    0.370    0.000    6.838    0.000 block.py:15(__init__)
   363681    0.308    0.000    0.308    0.000 validator.py:163(head)
    81915    0.308    0.000    1.983    0.000 random.py:236(randint)
    56914    0.301    0.000    1.649    0.000 message.py:14(__init__)
    56914    0.274    0.000    0.327    0.000 network.py:77(report_vote)
    69422    0.244    0.000    0.364    0.000 network.py:105(report_justified)
     5879    0.201    0.000    0.463    0.000 _tqdm.py:246(format_meter)
   103788    0.176    0.000    0.176    0.000 {method 'getrandbits' of '_random.Random' objects}
    35436    0.127    0.000    0.148    0.000 {method 'format' of 'str' objects}
150309/150199    0.121    0.000    0.121    0.000 {len}
    81102    0.113    0.000    0.113    0.000 {time.time}
      500    0.091    0.000    0.177    0.000 metrics.py:14(fraction_justified_and_finalized)
    25002    0.083    0.000    0.083    0.000 {binascii.hexlify}
        4    0.075    0.019    0.630    0.157 __init__.py:1(<module>)
     5879    0.075    0.000    2.358    0.000 _tqdm.py:233(fp_write)
    81132    0.075    0.000    0.079    0.000 {method 'add' of 'set' objects}
    11078    0.070    0.000    0.100    0.000 network.py:115(report_finalized)
     5900    0.065    0.000    0.092    0.000 threading.py:186(release)
    25500    0.064    0.000    0.064    0.000 network.py:73(report_proposal)
    11748    0.064    0.000    0.137    0.000 _tqdm.py:202(format_interval)
     5900    0.058    0.000    0.080    0.000 threading.py:146(acquire)
    25319    0.056    0.000    0.077    0.000 validator.py:53(add_justification_dependency)
     5879    0.053    0.000    0.522    0.000 _tqdm.py:893(__repr__)
     5879    0.052    0.000    2.419    0.000 _tqdm.py:239(print_status)
     5900    0.048    0.000    0.151    0.000 _tqdm.py:76(release)
        1    0.045    0.045    0.045    0.045 {method 'read' of 'file' objects}
     5900    0.041    0.000    0.145    0.000 _tqdm.py:72(acquire)
        1    0.036    0.036    0.036    0.036 linalg.py:10(<module>)
    25500    0.035    0.000    0.035    0.000 {hash}
    25001    0.035    0.000    0.035    0.000 {math.ceil}
    29375    0.033    0.000    0.033    0.000 {divmod}
    25502    0.031    0.000    0.031    0.000 block.py:73(__init__)
        1    0.030    0.030 1022.845 1022.845 metrics.py:2(<module>)
        1    0.030    0.030    0.178    0.178 _tqdm.py:9(<module>)
        1    0.029    0.029    0.030    0.030 __init__.py:4(<module>)
     5900    0.024    0.000    0.024    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.024    0.024    0.041    0.041 numeric.py:1(<module>)
       10    0.024    0.002    0.024    0.002 _utils.py:194(_environ_cols_linux)
     5900    0.023    0.000    0.174    0.000 _tqdm.py:83(__exit__)
    17691    0.023    0.000    0.023    0.000 {max}
        1    0.022    0.022    0.022    0.022 hashlib.py:55(<module>)
        2    0.022    0.011    0.069    0.035 __init__.py:44(<module>)
        1    0.021    0.021    0.399    0.399 __init__.py:106(<module>)
     5900    0.020    0.000    0.165    0.000 _tqdm.py:80(__enter__)
        1    0.018    0.018    0.104    0.104 _utils.py:1(<module>)
        1    0.018    0.018    0.019    0.019 case.py:1(<module>)
    11821    0.017    0.000    0.017    0.000 threading.py:63(_note)
    11812    0.014    0.000    0.014    0.000 {thread.get_ident}
        1    0.014    0.014    0.029    0.029 npyio.py:1(<module>)
     5879    0.014    0.000    0.014    0.000 {method 'flush' of 'file' objects}
    11027    0.014    0.000    0.014    0.000 {unichr}
        1    0.013    0.013    0.013    0.013 collections.py:1(<module>)
        1    0.012    0.012    0.013    0.013 result.py:1(<module>)
     5900    0.011    0.000    0.011    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.011    0.011    0.065    0.065 __init__.py:7(<module>)
        1    0.011    0.011    0.012    0.012 pickle.py:25(<module>)
     5952    0.010    0.000    0.010    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.010    0.010    0.010    0.010 util.py:35(<module>)
        1    0.009    0.009    0.010    0.010 __init__.py:88(<module>)
        1    0.009    0.009    0.036    0.036 __init__.py:15(<module>)
       10    0.009    0.001    0.009    0.001 metrics.py:40(delay_throughput)
     5921    0.009    0.000    0.009    0.000 {method 'release' of 'thread.lock' objects}
        1    0.008    0.008    0.008    0.008 {posix.popen}
        2    0.008    0.004    0.009    0.004 function_base.py:1(<module>)
        1    0.008    0.008    0.008    0.008 loader.py:1(<module>)
        1    0.007    0.007    0.038    0.038 ctypeslib.py:51(<module>)
        1    0.007    0.007    0.007    0.007 _datasource.py:33(<module>)
        1    0.007    0.007    0.019    0.019 subprocess.py:387(<module>)
        1    0.007    0.007    0.008    0.008 polynomial.py:55(<module>)
        1    0.007    0.007    0.029    0.029 random.py:40(<module>)
        1    0.007    0.007    0.052    0.052 __init__.py:45(<module>)
        1    0.007    0.007    0.036    0.036 block.py:1(<module>)
       90    0.007    0.000    0.007    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.006    0.006    0.008    0.008 format.py:136(<module>)
        1    0.005    0.005    0.005    0.005 fftpack.py:32(<module>)
      273    0.005    0.000    0.007    0.000 function_base.py:2945(add_newdoc)
        1    0.004    0.004    0.015    0.015 index_tricks.py:1(<module>)
      500    0.004    0.000    0.011    0.000 validator.py:13(__init__)
       10    0.004    0.000    0.005    0.000 metrics.py:110(finalization_quartiles)
      500    0.004    0.000    0.016    0.000 validator.py:102(__init__)
        1    0.004    0.004    0.004    0.004 synchronize.py:74(__init__)
        1    0.004    0.004    0.008    0.008 __init__.py:38(<module>)
    89/31    0.004    0.000    0.012    0.000 sre_parse.py:379(_parse)
        1    0.003    0.003    0.004    0.004 chebyshev.py:87(<module>)
        6    0.003    0.000    0.005    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.003    0.003    0.004    0.004 legendre.py:83(<module>)
        1    0.003    0.003    0.004    0.004 hermite.py:59(<module>)
       30    0.003    0.000    0.007    0.000 arrayprint.py:547(fillFormat)
        1    0.003    0.003    0.004    0.004 hermite_e.py:59(<module>)
        1    0.003    0.003    0.004    0.004 laguerre.py:59(<module>)
   191/29    0.003    0.000    0.007    0.000 sre_compile.py:32(_compile)
       10    0.003    0.000    0.004    0.000 metrics.py:75(timing_chain)
        1    0.003    0.003    0.166    0.166 type_check.py:3(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:10(<module>)
        1    0.002    0.002    0.004    0.004 runner.py:1(<module>)
        1    0.002    0.002    0.004    0.004 synchronize.py:36(<module>)
        1    0.002    0.002    0.002    0.002 forking.py:35(<module>)
      944    0.002    0.000    0.003    0.000 sre_parse.py:182(__next)
        1    0.002    0.002    0.005    0.005 _main.py:1(<module>)
        1    0.002    0.002    0.277    0.277 add_newdocs.py:10(<module>)
