Sat Mar 24 12:39:23 2018    /home/nicky/pos/restats_2

         246937820 function calls (246147762 primitive calls) in 510.971 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3282443/3256970   92.888    0.000  175.264    0.000 validator.py:315(accept_vote)
  9412634   71.734    0.000  136.661    0.000 validator.py:64(is_ancestor)
 25000000   60.132    0.000  121.962    0.000 validator.py:423(vote_on_delay)
 52131396   51.362    0.000   51.362    0.000 validator.py:59(get_checkpoint_parent)
 25000000   38.472    0.000  178.033    0.000 validator.py:87(tick)
   500000   27.897    0.000  489.803    0.001 network.py:58(tick)
4893618/4129595   23.993    0.000  285.380    0.000 validator.py:475(on_receive)
 35183372   23.525    0.000   23.526    0.000 {isinstance}
 25000368   17.107    0.000   17.107    0.000 {range}
 26250913   17.097    0.000   17.097    0.000 validator.py:159(head)
  4215364    9.005    0.000   14.728    0.000 random.py:418(expovariate)
    82255    8.959    0.000   32.685    0.000 network.py:39(broadcast)
  1246984    8.574    0.000   68.430    0.000 validator.py:217(check_head)
     1000    7.548    0.008   16.359    0.016 metrics.py:144(blocks_under_highest_justified)
  1584435    6.896    0.000   76.874    0.000 validator.py:167(accept_block)
  4112750    6.661    0.000   20.820    0.000 utils.py:7(<lambda>)
  7818453    5.620    0.000    5.620    0.000 {method 'append' of 'list' objects}
     1041    4.077    0.004    4.077    0.004 {method 'items' of 'dict' objects}
  4322623    3.483    0.000    3.483    0.000 {math.log}
  5465414    3.225    0.000    3.225    0.000 {method 'random' of '_random.Random' objects}
  3282453    2.808    0.000    2.808    0.000 validator.py:468(check_vote_validity)
  2915382    2.217    0.000    2.217    0.000 {method 'get' of 'dict' objects}
    25001    1.477    0.000    2.307    0.000 random.py:291(sample)
  1584471    1.464    0.000    1.464    0.000 validator.py:462(check_block_validity)
   739969    1.437    0.000    2.010    0.000 validator.py:48(add_dependency)
     4469    1.249    0.000    1.249    0.000 {method 'write' of 'file' objects}
    84900    1.228    0.000   27.391    0.000 validator.py:254(maybe_vote_last_checkpoint)
    25003    1.154    0.000    1.154    0.000 {posix.urandom}
        1    1.107    1.107  510.302  510.302 metrics.py:208(print_metrics_latency)
    84900    1.106    0.000   28.496    0.000 validator.py:434(vote_at_given_height)
   500010    0.869    0.000    2.782    0.000 _tqdm.py:923(__iter__)
    82256    0.546    0.000    1.316    0.000 random.py:173(randrange)
    50003    0.518    0.000    0.518    0.000 {function seed at 0x7f3195f56b90}
    50003    0.427    0.000    2.172    0.000 random.py:100(seed)
    82256    0.411    0.000    0.770    0.000 random.py:242(_randbelow)
    25500    0.410    0.000    0.443    0.000 block.py:77(__hash__)
   496530    0.392    0.000    0.392    0.000 block.py:50(epoch)
    25001    0.307    0.000    6.022    0.000 block.py:15(__init__)
   361864    0.276    0.000    0.276    0.000 validator.py:163(head)
